# Visual Configuration Table			

# stores intial values for configuration of in game elements			
#Name	Value		
#Values to use with hieght based reflection map			
cam.followvehicle.blur.speed.w	0.2			
# cam.followvehicle.blur.damage	50	100.00	0.00	0.03
cam.followvehicle.blur.damage.x	50			
cam.followvehicle.blur.damage.y	100.00			
cam.followvehicle.blur.damage.z	0.00			
cam.followvehicle.blur.damage.w	0.03			
cam.followvehicle.blur.damage.time	500			
cam.followvehicle.blur.cap	0.3			
cam.game.blur.wasted	0.1			
cam.game.blur.wasted.fadetime	1000			
cam.game.blur.busted	0.1			
cam.game.blur.busted.fadetime	1000			
cam.game.blur.cap	1			
cam.fpsweapon.blur	0.001			
cam.fpsweapon.sniperinitime	300			
cam.fpsweapon.blur.cap	1			
cam.intermezzo.stuntjump.blur	0.02			
				
# Misc Values				
misc.DOFBlurMultiplier.HD	1			
misc.DOFBlurMultiplier.SD	0.5			
misc.Multiplier.heightStart	100			
misc.Multiplier.heightEnd	303
misc.Multiplier.farClipMultiplier	2.35
misc.Multiplier.nearFogMultiplier	0.5			
misc.3dMarkers.FrontLightIntensity	10.00		
misc.3dMarkers.frontLightExponent	32		
misc.coronas.WaterMultiplier	5		
misc.BloomIntensityClamp.HD	10		
misc.BloomIntensityClamp.SD	10.00		
misc.BloomIntensityClamp.SD.ps3	5.00		
misc.CrossPMultiplier.RimLight	0.70		
misc.CrossPMultiplier.GlobalEnvironmentReflection	1.00		
misc.CrossPMultiplier.Gamma	1.15		
misc.CrossPMultiplier.MidBlur	1.00		
misc.CrossPMultiplier.Farblur	1.00		
misc.CrossPMultiplier.SkyMultiplier	1.05		
misc.CrossPMultiplier.Desaturation 	1.29		
misc.HiDof.nearBlur	1		
misc.HiDof.midBlur	0.20		
misc.HiDof.farBlur	1.00		
misc.cutscene.nearBlurMin	0.2		
